"dataroad" "" ""
"机荷高速 Jihe Highway" "机荷高速" "30" "106"
"机荷高速 Jihe Highway" "机荷高速" "51" "106"
"广深公路 Guangzhou-Shenzhen Highway" "广深公路" "69" "51"
"皇岗路 Huanggang Road" "皇岗路" "75" "177"
"滨河大道" "滨河大道" "77" "173"
"红荔路" "红荔路" "82" "134"
"桂庙路" "桂庙路" "90" "97"
"南光高速" "南光高速" "93" "43"
"同乐路 Tongle Rd" "同乐路" "117" "7"
"南光高速" "南光高速" "122" "43"
"皇岗路" "皇岗路" "135" "177"
"宝安大道 BaoAn DaDao" "宝安大道" "146" "35"
"南海大道" "南海大道" "155" "47"
"皇岗路 Huanggang Rd" "皇岗路" "163" "177"
"广深公路 Guangzhou-Shenzhen Highway" "广深公路" "167" "51"
"广深公路 Guangzhou-Shenzhen Highway" "广深公路" "168" "51"
"广深公路 Guangzhou-Shenzhen Highway" "广深公路" "170" "51"
"西环路 XiHuan Lu" "西环路" "171" "75"
"南环路 NanHuan Rd" "南环路" "172" "2"
"南海大道 Nanhai Blvd" "南海大道" "174" "47"
"南海大道 Nanhai Blvd" "南海大道" "175" "47"
"南海大道 Nanhai Blvd" "南海大道" "176" "47"
"南海大道 Nanhai Blvd" "南海大道" "177" "47"
"新洲路" "新洲路" "182" "178"
"红荔路" "红荔路" "184" "134"
"沙河西路" "沙河西路" "193" "50"
"北环大道" "北环大道" "194" "170"
"深南大道" "深南大道" "200" "174"
"深南大道" "深南大道" "201" "174"
"益田路" "益田路" "208" "102"
"白石路" "白石路" "215" "116"
"白石路" "白石路" "216" "116"
"新洲路 Xinzhou Rd" "新洲路" "223" "178"
"福强路 Fuqiang Road" "福强路" "232" "101"
"宝安大道 BaoAn DaDao" "宝安大道" "242" "35"
"西乡大道 Xixiang Dadao" "西乡大道" "244" "71"
"福龙路 Fulong Rd" "福龙路" "253" "48"
"彩田路" "彩田路" "254" "55"
"沙河西路" "沙河西路" "257" "50"
"科苑路" "科苑路" "261" "99"
"后海大道" "后海大道" "263" "115"
"东滨路" "东滨路" "264" "96"
"南海大道" "南海大道" "268" "47"
"东滨路" "东滨路" "269" "96"
"北环大道" "北环大道" "279" "170"
"西乡大道 Xixiang Dadao" "西乡大道" "282" "71"
"滨海大道" "滨海大道" "287" "172"
"白石路" "白石路" "317" "116"
"宝源路" "宝源路" "321" "73"
"中兴路 Zhongxing Rd" "中兴路" "329" "24"
"爱国路" "爱国路" "338" "66"
"深南东路" "深南东路" "346" "175"
"怡景路" "怡景路" "392" "68"
"益田路" "益田路" "399" "102"
"福强路 Fuqiang Road" "福强路" "401" "101"
"香蜜湖路" "香蜜湖路" "543" "130"
"香蜜湖路" "香蜜湖路" "556" "130"
"新洲路 Xinzhou Road" "新洲路" "557" "178"
"新洲路 Xinzhou Rd" "新洲路" "558" "178"
"新洲路 Xinzhou Rd" "新洲路" "559" "178"
"新洲路" "新洲路" "574" "178"
"新洲路" "新洲路" "575" "178"
"新洲路" "新洲路" "576" "178"
"新洲路" "新洲路" "580" "178"
"新洲路 Xinzhou Road" "新洲路" "581" "178"
"益田路" "益田路" "584" "102"
"益田路" "益田路" "585" "102"
"益田路" "益田路" "593" "102"
"深南大道 Shennan Boulevard" "深南大道" "595" "174"
"深南大道" "深南大道" "596" "174"
"深南大道" "深南大道" "597" "174"
"深南大道" "深南大道" "598" "174"
"深南大道" "深南大道" "599" "174"
"益田路" "益田路" "633" "102"
"香蜜湖路" "香蜜湖路" "641" "130"
"北环大道 Beihuan Boulevard" "北环大道" "642" "170"
"彩田路 Caitian Road" "彩田路" "661" "55"
"彩田路 Caitian Road" "彩田路" "662" "55"
"彩田路 Caitian Road" "彩田路" "663" "55"
"皇岗路" "皇岗路" "666" "177"
"皇岗路" "皇岗路" "667" "177"
"皇岗路" "皇岗路" "668" "177"
"皇岗路" "皇岗路" "669" "177"
"彩田路" "彩田路" "683" "55"
"皇岗路 Huanggang Rd" "皇岗路" "684" "177"
"皇岗路 Huanggang Rd" "皇岗路" "685" "177"
"皇岗路 Huanggang Rd" "皇岗路" "686" "177"
"彩田路" "彩田路" "687" "55"
"彩田路" "彩田路" "690" "55"
"福强路 Fuqiang Road" "福强路" "691" "101"
"皇岗路" "皇岗路" "692" "177"
"皇岗路" "皇岗路" "693" "177"
"皇岗路" "皇岗路" "694" "177"
"福强路" "福强路" "696" "101"
"红荔路" "红荔路" "698" "134"
"笋岗路" "笋岗路" "704" "176"
"皇岗路" "皇岗路" "706" "177"
"皇岗路" "皇岗路" "707" "177"
"皇岗路" "皇岗路" "714" "177"
"机荷高速 Jihe Highway" "机荷高速" "734" "106"
"深南大道" "深南大道" "741" "174"
"深南大道" "深南大道" "742" "174"
"机荷高速 Jihe Highway" "机荷高速" "778" "106"
"机荷高速 Jihe Highway" "机荷高速" "779" "106"
"机荷高速 Jihe Highway" "机荷高速" "780" "106"
"机荷高速 Jihe Highway" "机荷高速" "781" "106"
"机荷高速 Jihe Highway" "机荷高速" "782" "106"
"机荷高速 Jihe Highway" "机荷高速" "783" "106"
"机荷高速 Jihe Highway" "机荷高速" "784" "106"
"机荷高速 Jihe Highway" "机荷高速" "785" "106"
"新洲路 Xinzhou Rd" "新洲路" "809" "178"
"新洲路 Xinzhou Rd" "新洲路" "810" "178"
"新洲路 Xinzhou Rd" "新洲路" "811" "178"
"新洲路 Xinzhou Rd" "新洲路" "812" "178"
"华富路" "华富路" "829" "105"
"华富路" "华富路" "830" "105"
"华富路" "华富路" "832" "105"
"华富路" "华富路" "833" "105"
"华富路" "华富路" "834" "105"
"华富路" "华富路" "846" "105"
"华富路" "华富路" "847" "105"
"华富路" "华富路" "848" "105"
"华富路" "华富路" "849" "105"
"彩田路 Caitian Road" "彩田路" "856" "55"
"彩田路 Caitian Road" "彩田路" "860" "55"
"彩田路 Caitian Road" "彩田路" "861" "55"
"彩田路 Caitian Road" "彩田路" "862" "55"
"红荔路" "红荔路" "863" "134"
"红荔路 HongLi Rd" "红荔路" "864" "134"
"彩田路 Caitian Road" "彩田路" "869" "55"
"彩田路 Caitian Road" "彩田路" "870" "55"
"彩田路 Caitian Road" "彩田路" "871" "55"
"彩田路 Caitian Road" "彩田路" "872" "55"
"彩田路 Caitian Road" "彩田路" "873" "55"
"彩田路 Caitian Road" "彩田路" "874" "55"
"彩田路 Caitian Road" "彩田路" "875" "55"
"彩田路 Caitian Road" "彩田路" "877" "55"
"彩田路 Caitian Road" "彩田路" "878" "55"
"彩田路 Caitian Road" "彩田路" "879" "55"
"彩田路 Caitian Road" "彩田路" "880" "55"
"彩田路 Caitian Road" "彩田路" "881" "55"
"笋岗路 - Sungang Road" "笋岗路" "892" "176"
"笋岗路" "笋岗路" "901" "176"
"泥岗路 - Nigang Rd" "泥岗路" "930" "171"
"北环大道 Beihuan Boulevard" "北环大道" "932" "170"
"北环大道" "北环大道" "934" "170"
"北环大道" "北环大道" "937" "170"
"泥岗路 - Nigang Rd" "泥岗路" "972" "171"
"泥岗路 - Nigang Road" "泥岗路" "975" "171"
"泥岗路 - Nigang Road" "泥岗路" "979" "171"
"泥岗路 - Nigang Road" "泥岗路" "980" "171"
"泥岗路 - Nigang Road" "泥岗路" "981" "171"
"泥岗路 - Nigang Road" "泥岗路" "982" "171"
"布龙路 Bulong Rd" "布龙路" "1013" "137"
"布龙路 Bulong Rd" "布龙路" "1015" "137"
"机荷高速 Jihe Highway" "机荷高速" "1061" "106"
"机荷高速 Jihe Highway" "机荷高速" "1063" "106"
"机荷高速 Jihe Highway" "机荷高速" "1066" "106"
"机荷高速 Jihe Highway" "机荷高速" "1077" "106"
"机荷高速 Jihe Highway" "机荷高速" "1080" "106"
"水官高速 Shuiguan Expressway" "水官高速" "1091" "109"
"水官高速 Shuiguan Expressway" "水官高速" "1092" "109"
"水官高速 Shuiguan Expressway" "水官高速" "1093" "109"
"水官高速 Shuiguan Expressway" "水官高速" "1094" "109"
"机荷高速 Jihe Highway" "机荷高速" "1101" "106"
"机荷高速 Jihe Highway" "机荷高速" "1102" "106"
"机荷高速 Jihe Highway" "机荷高速" "1103" "106"
"机荷高速 Jihe Highway" "机荷高速" "1106" "106"
"机荷高速 Jihe Highway" "机荷高速" "1107" "106"
"机荷高速 Jihe Highway" "机荷高速" "1108" "106"
"机荷高速 Jihe Highway" "机荷高速" "1110" "106"
"机荷高速 Jihe Highway" "机荷高速" "1114" "106"
"笋岗路 - Sungang Road" "笋岗路" "1125" "176"
"泥岗路 - Nigang Road" "泥岗路" "1136" "171"
"深南大道" "深南大道" "1153" "174"
"布龙路 Bulong Rd" "布龙路" "1170" "137"
"坂雪岗大道 Bǎnxuě Gǎng Av" "坂雪岗大道" "1171" "162"
"布龙路 Bulong Rd" "布龙路" "1174" "137"
"布龙路 Bulong Rd" "布龙路" "1175" "137"
"水官高速 Shuiguan Expressway" "水官高速" "1177" "109"
"布龙路 Bulong Rd" "布龙路" "1180" "137"
"布沙路 Busha Rd" "布沙路" "1184" "27"
"深南大道" "深南大道" "1324" "174"
"深南大道" "深南大道" "1325" "174"
"丹沙路 Dansha Rd" "丹沙路" "1370" "28"
"如意路" "如意路" "1385" "77"
"布龙路 Bulong Rd" "布龙路" "1462" "137"
"布龙路 Bulong Rd" "布龙路" "1469" "137"
"五和大道" "五和大道" "1522" "14"
"五和大道" "五和大道" "1523" "14"
"人民路" "人民路" "1538" "13"
"广深公路 Guangzhou-Shenzhen Highway" "广深公路" "1550" "51"
"龙大高速 Longhua-Dalingshan Expressway" "龙大高速" "1552" "111"
"福龙路 Fulong Rd" "福龙路" "1554" "48"
"深汕高速 010国道;深汕高速 010国道 机荷高速 Airport–He&#39;ao Expressway" "深汕高速" "1557" "108"
"富安大道 Fuan Avenue" "富安大道" "1590" "144"
"富安大道 Fuan Avenue" "富安大道" "1591" "144"
"富安大道 Fuan Avenue" "富安大道" "1592" "144"
"富安大道 Fuan Avenue" "富安大道" "1593" "144"
"富安大道 Fuan Avenue" "富安大道" "1594" "144"
"富安大道 Fuan Avenue" "富安大道" "1595" "144"
"东门路 DongMen str" "东门路" "1604" "54"
"平新北路 PingXin Bei str" "平新北路" "1608" "143"
"广深公路 Guangzhou-Shenzhen Highway" "广深公路" "1647" "51"
"南海大道" "南海大道" "1667" "47"
"南海大道 Nanhai Blvd" "南海大道" "1668" "47"
"皇岗路" "皇岗路" "1678" "177"
"皇岗路" "皇岗路" "1679" "177"
"皇岗路" "皇岗路" "1686" "177"
"彩田路 Caitian Road" "彩田路" "1689" "55"
"沙江路 Shajiang Rd" "沙江路" "1694" "169"
"东滨路" "东滨路" "1698" "96"
"后海大道" "后海大道" "1729" "115"
"后海大道" "后海大道" "1739" "115"
"后海大道" "后海大道" "1744" "115"
"南海大道 Nanhai Blvd" "南海大道" "1756" "47"
"深南大道" "深南大道" "1876" "174"
"红荔路 Hongli Rd" "红荔路" "1880" "134"
"深南大道" "深南大道" "1883" "174"
"深南大道" "深南大道" "1885" "174"
"深南大道 Shennan Boulevard" "深南大道" "1888" "174"
"香蜜湖路" "香蜜湖路" "1900" "130"
"香蜜湖路" "香蜜湖路" "1908" "130"
"爱国路" "爱国路" "2156" "66"
"南山大道 Nanshan Dadao" "南山大道" "2276" "133"
"滨海大道" "滨海大道" "2290" "172"
"滨海大道" "滨海大道" "2617" "172"
"月亮湾大道" "月亮湾大道" "2668" "37"
"盐坝高速 Yanba Expressway" "盐坝高速" "2727" "42"
"滨海大道" "滨海大道" "2801" "172"
"宝源路" "宝源路" "2817" "73"
"深南大道" "深南大道" "2827" "174"
"滨海大道" "滨海大道" "3332" "172"
"盐坝高速 - Yanba Expressway" "盐坝高速" "3394" "42"
"盐坝高速 - Yanba Expressway" "盐坝高速" "3403" "42"
"盐坝高速 Yanba Expressway" "盐坝高速" "3425" "42"
"盐排高速 Yanpai Expressway" "盐排高速" "3628" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3629" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3631" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3632" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3633" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3635" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3636" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3637" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3638" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3646" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3647" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3649" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3651" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3654" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3655" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3656" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3657" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3658" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3659" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3660" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3661" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3663" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3664" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3665" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3666" "44"
"盐排高速 Yanpai Expressway" "盐排高速" "3669" "44"
"水官高速 Shuiguan Expressway" "水官高速" "3672" "109"
"盐排高速 Yanpai Expressway" "盐排高速" "3675" "44"
"深盐路" "深盐路" "3736" "87"
"北山道 Beishan Rd" "北山道" "3753" "88"
"北山道 Beishan Rd" "北山道" "3759" "88"
"北山道 Beishan Rd" "北山道" "3773" "88"
"北山道 Beishan Rd" "北山道" "3777" "88"
"高尔夫大道 GaoErFu ave" "高尔夫大道" "3833" "64"
"新和大道 Xīnhé Ave" "新和大道" "3837" "5"
"福龙路 Fulong Rd" "福龙路" "3849" "48"
"沙河西路" "沙河西路" "3862" "50"
"比亚迪路 Biyadi Rd" "比亚迪路" "4132" "153"
"宝石公路" "宝石公路" "4189" "180"
"同乐路" "同乐路" "4190" "7"
"平龙路 PingLong str" "平龙路" "4241" "141"
"红荔路" "红荔路" "4270" "134"
"北环大道" "北环大道" "4332" "170"
"北环大道" "北环大道" "4333" "170"
"北环大道" "北环大道" "4334" "170"
"沙河西路" "沙河西路" "4341" "50"
"沙河西路" "沙河西路" "4342" "50"
"深南大道" "深南大道" "4345" "174"
"南山大道 Nanshan Dadao" "南山大道" "4439" "133"
"宝安大道 BaoAn DaDao" "宝安大道" "4444" "35"
"布龙路 Bulong Rd" "布龙路" "4511" "137"
"布龙路 Bulong Rd" "布龙路" "4513" "137"
